"C","n1","c1","c2","c3","c4","y"
2981099879,250,0,0,1,0,20
2641015529,125,1,1,0,0,70
796159261,60,1,1,0,0,80
2034936463,250,1,1,1,1,60
2641015529,125,1,1,0,0,80
1810893414,250,0,1,0,1,30
713994497,62.5,0,0,1,0,10
2641015529,30,0,1,1,1,0
1182287526,250,0,1,1,0,0
2641015529,30,0,1,1,0,0
2641015529,60,0,1,1,1,100
2031148441,62.5,0,0,1,1,0
2934278044,2,1,1,1,0,0
2641015529,30,0,1,1,1,20
2528308950,60,1,1,0,0,90
2031148441,62.5,0,0,1,0,0
2641015529,15,0,1,1,0,0
2641015529,15,1,1,1,0,0
2641015529,250,0,1,1,0,0
2641015529,8,1,1,0,0,70
2641015529,30,1,1,1,0,10
777403527,250,1,1,0,1,100
2641015529,15,0,1,1,1,50
2641015529,15,1,1,0,1,40
2641015529,60,1,1,1,0,10
393761108,1000,0,0,1,1,100
2641015529,250,0,1,1,1,100
2641015529,125,1,1,0,1,100
2641015529,30,1,1,1,1,10
2641015529,500,1,0,1,0,90
2077551880,125,1,1,1,1,80
2014473829,30,0,1,0,0,0
2753600179,30,0,1,1,0,0
2641015529,60,1,1,1,1,90
2641015529,250,0,1,1,1,100
1068222184,125,1,1,1,1,90
2641474502,250,0,1,1,1,0
2038528340,250,1,1,1,1,80
2641015529,30,1,1,1,0,0
2641015529,250,0,1,1,1,60
2641015529,60,1,1,1,0,50
2641015529,30,0,1,0,0,0
2641015529,125,1,1,0,1,90
2766665932,1000,1,0,0,0,90
2084261924,125,1,1,0,1,20
2641015529,125,0,1,0,0,0
2641015529,8,0,1,0,1,0
2641015529,60,0,1,0,1,60
2641015529,30,1,1,1,0,0
2641015529,60,1,1,0,1,90
2858315009,60,0,1,1,1,20
2641015529,60,1,1,1,1,90
2016394508,1000,0,0,0,0,0
2641015529,15,0,1,0,0,0
447778147,125,1,1,1,0,0
1530256782,500,0,1,1,1,90
2641015529,250,1,1,1,1,80
393761108,30,1,1,0,1,90
298091004,125,1,1,0,1,100
2641015529,8,1,1,0,1,60
2947803879,60,1,1,1,0,0
2056638827,125,0,1,1,0,0
2641015529,250,1,1,1,1,90
2641015529,125,1,1,1,1,100
2641015529,15,1,1,0,1,70
2641015529,60,0,1,0,1,80
393761108,250,1,1,1,1,80
2641015529,30,1,1,0,1,90
1861074436,125,0,1,1,1,0
1159777496,60,1,1,0,1,20
2096438188,1000,1,0,0,0,100
2641015529,125,0,1,0,1,60
2641015529,250,0,0,0,1,100
2641015529,30,0,1,0,1,100
453139383,30,0,1,0,1,10
2641015529,250,1,1,0,1,80
2641015529,62.5,1,0,0,1,50
2016372762,30,0,1,1,1,0
2047795320,62.5,1,0,0,0,70
2641015529,30,1,1,1,1,70
2641015529,15,1,1,0,1,0
242786067,1000,1,0,1,1,40
1865282480,60,0,1,1,1,0
1841813774,250,0,1,0,0,0
2687366555,250,1,1,0,1,70
2641015529,8,0,1,1,1,0
2641015529,125,1,1,0,1,90
2641015529,8,1,1,0,0,70
2641015529,500,0,1,1,0,30
2641015529,250,1,1,1,1,80
2528308950,62.5,0,0,0,0,60
1081277991,30,1,1,1,1,20
2641015529,15,0,1,0,1,70
2641015529,250,1,1,1,1,70
2641015529,2,1,1,0,1,30
2016686280,60,0,1,1,1,0
2641015529,250,0,1,0,1,60
2006145272,60,1,1,1,1,0
2113057411,62.5,1,0,1,1,90
2016686280,125,0,1,0,0,0
1014905061,125,0,1,0,1,20
2641015529,15,1,1,0,1,90
2641015529,60,1,1,0,0,70
2641015529,500,0,1,0,1,100
2641015529,250,0,1,0,1,50
2528308950,15,1,1,0,0,90
2973222904,60,0,1,0,1,30
2185188360,60,0,1,1,0,50
2641015529,8,1,1,1,1,40
2641015529,8,0,1,1,1,0
2641015529,15,1,1,1,0,0
2000421484,60,0,1,1,1,0
2667373318,62.5,0,0,0,0,0
2641015529,62.5,1,0,1,1,90
1068222184,30,1,1,1,1,60
2138689301,250,0,1,1,1,0
420942325,125,0,1,0,0,0
311269761,250,1,1,0,0,70
2641015529,60,1,1,1,0,20
2641015529,62.5,1,0,0,1,80
2350595603,30,1,1,0,0,10
2641015529,500,1,1,0,0,100
2641015529,125,0,1,1,0,10
2641015529,125,0,1,1,0,0
2036354319,60,1,1,0,1,70
2641015529,30,1,1,1,0,60
2641015529,8,0,1,1,0,0
2641015529,250,1,1,0,0,80
2641015529,15,0,1,1,0,0
1530256782,250,0,1,1,1,100
706926498,125,1,1,1,1,60
819766967,1000,0,0,1,1,100
1530256782,15,0,1,1,0,0
2641015529,250,0,1,1,0,40
968397069,30,1,1,1,1,10
2641015529,30,1,1,0,0,80
1223645248,125,0,1,1,1,0
1530256782,8,0,1,0,1,40
1014905061,15,1,1,0,1,80
2641015529,250,0,1,1,1,0
1333165084,30,1,1,0,0,10
2641015529,1000,0,0,1,1,80
1585621191,60,0,1,0,0,70
2641015529,125,0,1,1,1,100
2934278044,15,1,1,1,1,20
2641015529,8,0,1,1,0,0
744540360,62.5,0,0,0,1,0
376720899,1000,1,0,0,1,100
2068224028,1000,1,0,0,0,90
2641015529,125,1,1,1,1,80
2641015529,60,1,1,0,0,90
2641015529,60,1,1,0,1,70
1623363247,62.5,0,0,1,1,100
2641015529,60,1,1,0,0,90
2528308950,30,1,1,0,1,100
2641015529,250,1,1,0,0,80
2641015529,1000,1,0,1,1,100
2641015529,30,0,1,0,0,20
2641015529,60,0,1,0,1,0
2232759502,125,1,1,0,0,60
2528308950,30,1,1,0,1,0
2641015529,250,1,1,1,1,90
2125300652,250,1,1,0,0,90
2641015529,30,0,1,1,1,0
2641015529,15,1,1,1,0,0
2641015529,15,0,1,0,0,0
2641015529,250,0,1,0,0,80
2641015529,125,0,1,0,1,100
2641015529,125,0,1,1,0,0
2641015529,15,1,1,0,0,90
2641015529,250,0,1,0,0,100
2032293146,1,1,1,0,1,80
2641015529,60,1,1,1,1,80
2641015529,250,1,1,0,0,80
1530256782,62.5,0,0,0,0,100
2641015529,250,0,1,1,0,20
2641015529,250,0,1,1,1,100
2641015529,30,0,1,1,0,30
2641015529,125,1,1,1,1,80
2641015529,30,0,1,0,0,0
1096613432,60,0,1,1,1,0
2754245043,250,1,1,0,0,90
2084261924,125,0,1,0,0,0
2641015529,2,1,1,0,0,30
2164902691,1000,1,0,1,1,10
2641015529,250,0,1,1,1,100
2641015529,125,1,1,0,0,100
2641015529,500,0,1,0,0,100
2641015529,60,0,1,0,0,0
2641015529,125,1,1,0,1,90
335392692,60,1,1,1,0,20
2118873661,250,0,1,0,0,40
2665538446,125,0,1,0,0,0
2641015529,60,0,1,1,1,90
2641015529,250,1,1,1,1,90
2641015529,250,0,1,0,0,100
2017393670,250,0,1,1,0,0
2641015529,60,0,1,0,1,100
2641015529,15,1,1,0,0,90
985323858,1,1,1,1,1,0
2641015529,60,1,1,0,1,70
206089578,15,1,1,0,0,20
2641015529,8,0,1,0,0,0
2047753794,30,1,1,0,0,70
2665538446,60,1,1,0,1,20
2084185819,1000,0,0,0,1,100
2011778366,15,1,1,0,1,60
2017393670,30,0,1,0,0,40
2641015529,8,0,1,0,1,60
909646416,125,1,1,1,1,20
527946605,1000,1,0,1,1,0
2528308950,125,0,1,1,1,70
2641015529,60,1,1,1,1,30
968397069,60,0,1,1,1,0
974452793,62.5,1,0,0,1,80
2641015529,30,1,1,1,1,0
2641015529,8,0,1,0,1,30
2858315009,250,0,1,0,0,0
2641015529,30,1,1,0,1,50
2641015529,60,1,1,0,1,50
2096438188,60,1,1,0,1,70
2641015529,250,0,1,0,1,90
747858607,1,1,1,0,1,50
2528308950,125,1,1,1,0,70
1530256782,60,0,1,0,0,100
2307664881,500,1,1,1,0,0
2911537289,250,1,0,0,1,20
1935043828,1000,1,0,0,1,100
2641015529,125,1,1,0,0,90
1102845412,250,1,1,0,0,80
1428839638,62.5,1,0,1,1,80
2641015529,30,1,1,1,0,0
2641015529,15,1,1,0,1,90
2641015529,60,0,1,1,0,0
2021344637,15,1,1,0,0,20
2641015529,15,1,1,0,1,90
1530256782,62.5,1,0,0,1,90
777403527,60,1,1,1,1,80
2641015529,125,1,1,0,1,80
2272259171,2,1,1,1,1,0
2641015529,15,1,1,1,1,0
2766665932,1000,0,0,1,1,90
2120387640,60,1,1,1,1,0
2641015529,250,0,1,0,1,70
2766665932,250,0,0,1,1,70
2528308950,60,1,1,0,1,100
2641015529,8,0,1,0,0,60
1530256782,1000,0,0,1,0,100
